Number;Start time in milliseconds;End time in milliseconds;"Text"
1;1650;10800;"TOHO CORPORATION"
2;53940;58090;"Some mornings, I wake up crying without knowing why."
3;58700;61440;"That's when everything happens now and again."
4;62060;66540;"Whatever that dream was I had, I can never remember it."
5;66540;69550;"- But... - But..."
6;69550;72190;"the only thing that does last when I wake up"
7;72190;74190;"is a sense of loss,"
8;74560;77190;"which lingers for a long time afterwards."
9;83850;86700;"I'm always searching for something"
10;86700;88700;"or someone."
11;88750;91090;"Mitsuha: I've been consumed by this feeling..."
12;91920;94090;"ever since that day."
13;95040;98910;"Taki: The day... a star fell."
14;98910;100460;"It was almost like..."
15;100460;102450;"-like seeing something out of a dream."
16;103760;106450;"Nothing more or less..."
17;106460;108400;"- than a breathtaking view. - than a breathtaking view."
18;108970;114430;"Ah, if only our voices speak at night"
19;114430;118100;"could ever reach the very edge of this world"
20;118100;119610;"and of time"
21;119910;124790;"instead of fading into air and dust."
22;124790;127840;"Then what will the words, could it ever be"
23;127840;130540;"farthest words from "probably"?"
24;130550;133050;"Let's make a promise that will never fade."
25;133050;136830;"Let's say it together on the count of three, oh."
26;147750;150960;"Ah, I'm told that some part of every wish will be heard,"
27;150960;153730;"but lately I've lost sight of the truth in those words."
28;153730;156980;"I can't even remember when I gave up believing."
29;156980;158550;"What could have been the reason?"
30;158550;161870;"Ah, the very moment that the rain will stop"
31;161870;164410;"in the place rainbow born and dies."
32;164410;166350;"And where the end of this life lies,"
33;166350;170020;"I've always been insisting there was something that I've longing for."
34;174610;179990;"One day we'll reach to emotions unexplored, unprecedented."
35;179990;184720;"We'll high-five love we've yet to discover and give a kiss to time."
36;184720;187380;"The five dimensions keeps on teasing me,"
37;187380;190440;"but I will keep on looking at you, dear."
38;190440;194770;"Let's make a sign for when we say "nice to meet you" again."
39;196290;197660;"I'm on my way to you,"
40;197660;200610;"chasing after your name."
41;224120;226140;"Taki..."
42;226140;227890;"Taki."
43;227890;229900;"Taki!"
44;230660;232270;"Don't you remember?"
45;235290;238330;"My name is..."
46;238330;239020;"Mitsuha!"
47;275200;278010;"Sis, what are you... doing?"
48;278030;281390;"Whoa, they're so realistic-feeling..."
49;282200;283110;""Sis"?"
50;283110;284220;"Me?"
51;284220;285880;"Are you still asleep?"
52;285880;289010;"Breakfast time, hurry up!"
53;308600;310050;"Huh?"
54;310050;311420;"Wha-?"
55;311640;313260;"WHAAAT?!"
56;319930;322490;"Do you wanna have any of last night's fish, grandma?"
57;322490;324190;"You can eat it."
58;324710;326210;"- Mornin'! - Mornin'!"
59;326210;328330;"Lazy butt, you're so slow!"
60;328330;330540;"I'll fix breakfast tomorrow."
61;335930;337490;"Oh, that's a lot..."
62;337490;338850;"-Oh, well."
63;338850;341060;"- You're back to normal today. - Huh?"
64;341060;345750;"- You were so crazy yesterday. - What do you mean, "crazy"?"
65;346690;349380;"-Attention, citizens of Itomori."
66;349380;350650;"Good morning!"
67;350650;354400;"This is an official announcement from Itomori Town Hall."
68;354400;357330;"It is in regards to the mayoral election."
69;357330;360390;"The election will be held on the 20th of next month."
70;360760;364240;"The election committee would like to remind everyone tha-"
71;366450;372320;""Comet to pass by in a month: Visible to the naked eye""
72;366720;370040;"A comet that comes only once every 1,200 years"
73;370040;372770;"will finally be headed our way in a month."
74;372770;377120;"The comet will be visible to the naked eye for several days once it approaches the Earth..."
75;377120;379270;"Just make up with him already, okay?"
76;379270;385360;"- That's an adult matter. - According to JAXA's spokesperson, they're preparing for the celestial show of the millennium."
77;380440;384070;""Position of Comet Tiamat""
78;384070;385070;""Closest on October 4th""
79;401430;403120;"- We're leaving! - We're leaving!"
80;406390;410550;"Yotsuha: I can't wait 'til the festival! It's gonna be so much fun!"
81;423600;425570;"Study hard, sis!"
82;428400;429860;"Ah!"
83;430850;432420;"Mitsuha!"
84;432420;434370;"Good mornin', Saya! Mornin', Teshi!"
85;434370;437040;"- Mornin'! - Come on, would you get off already?"
86;437040;439160;"- What for, meanie? - 'Cause you're heavy."
87;439160;442360;"- Hey, that's rude! - Y'know, I gotta say. You two make a great couple."
88;442360;444050;"- No, we don't! - No, we don't!"
89;445730;448930;"Oh, I see you actually bothered to do your hair today."
90;448930;452780;"-Wait, what? -Oh, yeah. What happened? Did your grandma exorcise all your demons?"
91;452780;456200;"- Exorcise? - Somethin' totally possessed your body!"
92;456200;459190;"Would you just give it a rest with all this occult nonsense?"
